coord_x,coord_y,coord_z,wind_x,wind_y,baterry,ecoMode
-15.0881,-9.5698,0.5,0,0,100,0
-60.0000,-20.0000,0.5,0,-2,80,1
-143.6940,16.6366,0.5,0,-2,70,1
-220.0000,20.0000,0.5,0,-8,60,0
-280.5490,-3.7461,0.5,0,-8,50,0
-310.6380,-101.2920,0.5,0,-6,40,0
-245.6070,-112.9390,0.5,0,-6,35,1
-232.0190,-179.4260,0.5,0,-2,25,0
-289.2850,-203.6910,0.5,0,-4,35,1
-229.1070,-191.0730,0.5,0,-10,35,1
-177.6650,-108.5720,0.5,0,-8,25,0
-128.1640,-28.9819,0.5,0,-8,24,0
-100.5020,-27.5260,0.5,0,-4,22,0
-9.7498,-13.4522,0.5,0,0,20,1
